id,appointment_no,user_id,therapist_id,service_id,schedule_id,appointment_date,start_time,end_time,status,customer_note,admin_note,created_at,updated_at
1,APT20260520001,1,1,1,1,2026-05-20,2026-05-20 10:00:00,2026-05-20 11:00:00,pending,First visit prefers medium pressure,Awaiting confirmation,2026-05-19 09:00:00,2026-05-19 09:00:00
2,APT20260520002,2,1,2,2,2026-05-20,2026-05-20 11:30:00,2026-05-20 12:30:00,confirmed,Shoulder and neck tension,Confirmed by phone,2026-05-19 09:10:00,2026-05-19 09:20:00
3,APT20260521001,3,1,3,3,2026-05-21,2026-05-21 09:00:00,2026-05-21 10:30:00,completed,Needs quiet room,Session completed,2026-05-19 10:00:00,2026-05-21 10:40:00
4,APT20260521002,4,1,4,4,2026-05-21,2026-05-21 13:00:00,2026-05-21 14:00:00,pending,Lower back soreness,Needs therapist assignment,2026-05-19 10:15:00,2026-05-19 10:15:00
5,APT20260522001,5,1,5,5,2026-05-22,2026-05-22 15:00:00,2026-05-22 16:30:00,confirmed,Prefers light oil,Confirmed online,2026-05-19 11:00:00,2026-05-19 11:05:00
6,APT20260522002,6,1,6,6,2026-05-22,2026-05-22 17:00:00,2026-05-22 18:00:00,cancelled,Schedule changed,Cancelled by customer,2026-05-19 12:00:00,2026-05-20 08:00:00
7,APT20260523001,7,1,7,7,2026-05-23,2026-05-23 10:00:00,2026-05-23 11:30:00,confirmed,Post-workout recovery,Confirmed,2026-05-19 13:00:00,2026-05-19 13:10:00
8,APT20260523002,8,1,8,8,2026-05-23,2026-05-23 14:00:00,2026-05-23 15:00:00,pending,Focus on foot massage,Pending payment,2026-05-19 14:00:00,2026-05-19 14:00:00
9,APT20260524001,9,1,9,9,2026-05-24,2026-05-24 09:30:00,2026-05-24 10:30:00,completed,Regular customer,Completed with add-on,2026-05-19 15:00:00,2026-05-24 10:45:00
10,APT20260524002,10,1,10,10,2026-05-24,2026-05-24 16:00:00,2026-05-24 17:30:00,confirmed,Needs private room,Confirmed,2026-05-19 16:00:00,2026-05-19 16:20:00
